;Huur verhoging per jaar;;;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;
;Kosten verhoging per jaar;;;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;;2,5%;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70014;Kosten omtrent leefbaarheid;13;;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;;6,5;
;;;419;;;71;;71;;71;;71;;71;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348;;348
;Bruto marge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40000;Personeel;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mgr TD parttime;;;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;
;Mgr Financien part time;;;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;;60;
;Assist TD part time;;;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;
;Assist Fin/rel  part time;;;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;;30;
40200;Kantine kosten;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;
;;;152;;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181;;181
41000;Huisvesting;13;;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;;13;
41300;Verzekeringen;7;;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;;7;
41900;OZB;75;;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;;75;
;;;95;;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95;;95
43000;Kantoorbenodigheden;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;
43150;Telefoon internet;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;
;;;2;;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2;;2
45000;Promotie / leden zaken;6;;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;;6;
45100;Huurdersorganisatie;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45200;Representatie;5;;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;
;;;21;;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11;;11
46000;Rentelasten;135;;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1189;;1177;;1164;;1139;;1102;;1064;;1039;;1002;;964;;927;;889;;839;;789;;702;;652;;564;;477;;389;;302;;177;;52;;-4;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
46100;Rente baten;-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;124;;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1202;;1189;;1177;;1164;;1139;;1102;;1064;;1039;;1002;;964;;927;;889;;839;;789;;702;;652;;564;;477;;389;;302;;177;;52;;-4;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0
47000;Verzekering;1;;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;;1;
47001;Contributies;8;;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;;8;
47001;AW;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47100;contributie Aedes;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47200;RvC;53;;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;;15;
47350;Automatisering;23;;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;
47400;Advies;23;;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
47500;Accountancy;45;;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
47500;Werk derden financien;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47501;Belastingadvies;11;;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;;5;
47900;Div algemene kosten;6;;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;;10;
;;;317;;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64;;64
48000;Afschrijving activa tdv;9;;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;
;;;9;;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9;;9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Algemene kosten stijging;;;; 11 ;; 21 ;; 32 ;; 42 ;; 53 ;; 71 ;; 88 ;; 106 ;; 123 ;; 141 ;; 158 ;; 176 ;; 193 ;; 211 ;; 228 ;; 246 ;; 263 ;; 281 ;; 298 ;; 316 ;; 333 ;; 351 ;; 368 ;; 386 ;; 404 ;; 421 ;; 439 ;; 456 ;; 474 ;; 491 ;; 509 ;; 526 ;; 544 ;; 561 ;; 579 ;; 596 ;; 614 ;; 631 ;; 649 ;; 666 ;; 684 ;; 701 ;; 719 ;; 736 ;; 754 ;; 772 ;; 789 ;; 807 ;; 824 ;; 842 ;
90100;Waarde verandering OG;-533;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90100;Fusie;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;-233;;; 11 ;; 21 ;; 32 ;; 42 ;; 53 ;; 71 ;; 88 ;; 106 ;; 123 ;; 141 ;; 158 ;; 176 ;; 193 ;; 211 ;; 228 ;; 246 ;; 263 ;; 281 ;; 298 ;; 316 ;; 333 ;; 351 ;; 368 ;; 386 ;; 404 ;; 421 ;; 439 ;; 456 ;; 474 ;; 491 ;; 509 ;; 526 ;; 544 ;; 561 ;; 579 ;; 596 ;; 614 ;; 631 ;; 649 ;; 666 ;; 684 ;; 701 ;; 719 ;; 736 ;; 754 ;; 772 ;; 789 ;; 807 ;; 824 ;; 842 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Resultaat voor vpb;752;752;;;54;;85;;118;;152;;188;;-60;;-30;;2;;35;;69;;105;;142;;180;;220;;261;;303;;347;;393;;452;;513;;576;;653;;745;;838;;920;;1017;;1116;;1216;;1319;;1436;;1556;;1715;;1839;;2002;;2168;;2336;;2507;;2718;;2931;;3078;;3168;;3264;;3364;;3466;;3571;;3680;;3791;;3906;;4024;;4145
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90050;VPB; 60 ;;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;
;;; 60 ;;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   ;; -   
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Resultaat na vpb;692;692;;;54;;85;;118;;152;;188;;-60;;-30;;2;;35;;69;;105;;142;;180;;220;;261;;303;;347;;393;;452;;513;;576;;653;;745;;838;;920;;1017;;1116;;1216;;1319;;1436;;1556;;1715;;1839;;2002;;2168;;2336;;2507;;2718;;2931;;3078;;3168;;3264;;3364;;3466;;3571;;3680;;3791;;3906;;4024;;4145
